,id,season,city,date,team_1,team_2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,inning_1_score,inning_2_score,team_batting_first,team_batting_second
338,339,IPL-2012,Pune,2012-04-24,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,Delhi Daredevils,0,8,V Sehwag,Subrata Roy Sahara Stadium,146,148,Pune Warriors,Delhi Daredevils
339,340,IPL-2012,Chandigarh,2012-04-25,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,Mumbai Indians,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",168,171,Kings XI Punjab,Mumbai Indians
340,341,IPL-2012,Pune,2012-04-26,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,Deccan Chargers,18,0,CL White,Subrata Roy Sahara Stadium,177,159,Deccan Chargers,Pune Warriors
341,342,IPL-2012,Delhi,2012-04-27,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,Delhi Daredevils,37,0,V Sehwag,Feroz Shah Kotla,207,170,Delhi Daredevils,Mumbai Indians
342,343,IPL-2012,Chennai,2012-04-28,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,Kings XI Punjab,7,0,Mandeep Singh,Chepauk,156,149,Kings XI Punjab,Chennai Super Kings
343,344,IPL-2012,Kolkata,2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens,190,143,Kolkata Knight Riders,Royal Challengers Bangalore
344,345,IPL-2012,Delhi,2012-04-29,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Delhi Daredevils,1,0,V Sehwag,Feroz Shah Kotla,152,151,Delhi Daredevils,Rajasthan Royals
345,346,IPL-2012,Mumbai,2012-04-29,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,5,DW Steyn,Wankhede Stadium,100,101,Deccan Chargers,Mumbai Indians
346,347,IPL-2012,Chennai,2012-04-30,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Kolkata Knight Riders,0,5,G Gambhir,Chepauk,139,140,Chennai Super Kings,Kolkata Knight Riders
308,309,IPL-2012,Kolkata,2012-05-04,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,8,IK Pathan,Eden Gardens,97,100,Kolkata Knight Riders,Delhi Daredevils
352,353,IPL-2012,Kolkata,2012-05-05,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,7,0,SP Narine,Eden Gardens,150,143,Kolkata Knight Riders,Pune Warriors
353,354,IPL-2012,Chandigarh,2012-05-05,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,normal,Rajasthan Royals,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",177,134,Rajasthan Royals,Kings XI Punjab
364,365,IPL-2012,Jaipur,2012-05-13,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,Rajasthan Royals,45,0,A Chandila,Sawai Mansingh Stadium,170,125,Rajasthan Royals,Pune Warriors
365,366,IPL-2012,Chandigarh,2012-05-13,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,normal,Kings XI Punjab,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",190,194,Deccan Chargers,Kings XI Punjab
367,368,IPL-2012,Kolkata,2012-05-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,5,MEK Hussey,Eden Gardens,158,160,Kolkata Knight Riders,Chennai Super Kings
366,367,IPL-2012,Bangalore,2012-05-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,5,AT Rayudu,M Chinnaswamy Stadium,171,173,Royal Challengers Bangalore,Mumbai Indians
368,369,IPL-2012,Delhi,2012-05-15,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,Delhi Daredevils,0,5,UT Yadav,Feroz Shah Kotla,136,140,Kings XI Punjab,Delhi Daredevils
369,370,IPL-2012,Mumbai,2012-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Kolkata Knight Riders,32,0,SP Narine,Wankhede Stadium,140,108,Kolkata Knight Riders,Mumbai Indians
371,372,IPL-2012,Delhi,2012-05-17,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,Royal Challengers Bangalore,21,0,CH Gayle,Feroz Shah Kotla,215,194,Royal Challengers Bangalore,Delhi Daredevils
370,371,IPL-2012,Dharamsala,2012-05-17,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,120,123,Chennai Super Kings,Kings XI Punjab
372,373,IPL-2012,Hyderabad,2012-05-18,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,Deccan Chargers,0,5,DW Steyn,"RGIS, Uppal",126,128,Rajasthan Royals,Deccan Chargers
373,374,IPL-2012,Dharamsala,2012-05-19,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,141,145,Kings XI Punjab,Delhi Daredevils
374,375,IPL-2012,Pune,2012-05-19,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,136,102,Kolkata Knight Riders,Pune Warriors
375,376,IPL-2012,Hyderabad,2012-05-20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Deccan Chargers,9,0,DW Steyn,"RGIS, Uppal",132,123,Deccan Chargers,Royal Challengers Bangalore
376,377,IPL-2012,Jaipur,2012-05-20,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,Mumbai Indians,0,10,DR Smith,Sawai Mansingh Stadium,162,163,Rajasthan Royals,Mumbai Indians
377,378,IPL-2012,Pune,2012-05-22,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,18,0,YK Pathan,Subrata Roy Sahara Stadium,162,144,Kolkata Knight Riders,Delhi Daredevils
378,379,IPL-2012,Bangalore,2012-05-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Chennai Super Kings,38,0,MS Dhoni,M Chinnaswamy Stadium,187,149,Chennai Super Kings,Mumbai Indians
379,380,IPL-2012,Chennai,2012-05-25,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,Chennai Super Kings,86,0,M Vijay,Chepauk,222,136,Chennai Super Kings,Delhi Daredevils
380,381,IPL-2012,Chennai,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,Kolkata Knight Riders,0,5,MS Bisla,Chepauk,190,192,Chennai Super Kings,Kolkata Knight Riders
309,310,IPL-2012,Mumbai,2012-06-04,Pune Warriors,Mumbai Indians,Mumbai Indians,field,normal,Pune Warriors,28,0,SPD Smith,Wankhede Stadium,129,101,Pune Warriors,Mumbai Indians
310,311,IPL-2012,Jaipur,2012-06-04,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Rajasthan Royals,31,0,AM Rahane,Sawai Mansingh Stadium,191,160,Rajasthan Royals,Kings XI Punjab
354,355,IPL-2012,Mumbai,2012-06-05,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,0,2,DR Smith,Wankhede Stadium,173,174,Chennai Super Kings,Mumbai Indians
355,356,IPL-2012,Bangalore,2012-06-05,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,5,AB de Villiers,M Chinnaswamy Stadium,181,185,Deccan Chargers,Royal Challengers Bangalore
312,313,IPL-2012,Visakhapatnam,2012-07-04,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,Chennai Super Kings,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,193,119,Chennai Super Kings,Deccan Chargers
311,312,IPL-2012,Bangalore,2012-07-04,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,Royal Challengers Bangalore,20,0,AB de Villiers,M Chinnaswamy Stadium,157,137,Royal Challengers Bangalore,Delhi Daredevils
356,357,IPL-2012,Delhi,2012-07-05,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,Kolkata Knight Riders,0,6,JH Kallis,Feroz Shah Kotla,153,154,Delhi Daredevils,Kolkata Knight Riders
314,315,IPL-2012,Pune,2012-08-04,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,normal,Pune Warriors,22,0,MN Samuels,Subrata Roy Sahara Stadium,166,144,Pune Warriors,Kings XI Punjab
313,314,IPL-2012,Jaipur,2012-08-04,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Rajasthan Royals,22,0,BJ Hodge,Sawai Mansingh Stadium,164,142,Rajasthan Royals,Kolkata Knight Riders
357,358,IPL-2012,Pune,2012-08-05,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,Rajasthan Royals,0,7,SR Watson,Subrata Roy Sahara Stadium,125,126,Pune Warriors,Rajasthan Royals
358,359,IPL-2012,Hyderabad,2012-08-05,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,Kings XI Punjab,25,0,Mandeep Singh,"RGIS, Uppal",170,145,Kings XI Punjab,Deccan Chargers
315,316,IPL-2012,Visakhapatnam,2012-09-04,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,Mumbai Indians,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,138,142,Deccan Chargers,Mumbai Indians
359,360,IPL-2012,Mumbai,2012-09-05,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,9,CH Gayle,Wankhede Stadium,141,142,Mumbai Indians,Royal Challengers Bangalore
317,318,IPL-2012,Delhi,2012-10-04,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,8,M Morkel,Feroz Shah Kotla,110,111,Chennai Super Kings,Delhi Daredevils
316,317,IPL-2012,Bangalore,2012-10-04,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium,165,123,Kolkata Knight Riders,Royal Challengers Bangalore
360,361,IPL-2012,Jaipur,2012-10-05,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,126,127,Rajasthan Royals,Chennai Super Kings
330,331,IPL-2012,Hyderabad,2012-10-05,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Delhi Daredevils,0,9,DA Warner,"RGIS, Uppal",187,193,Deccan Chargers,Delhi Daredevils
318,319,IPL-2012,Mumbai,2012-11-04,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians,27,0,KA Pollard,Wankhede Stadium,197,170,Mumbai Indians,Rajasthan Royals
361,362,IPL-2012,Pune,2012-11-05,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,Royal Challengers Bangalore,35,0,CH Gayle,Subrata Roy Sahara Stadium,173,138,Royal Challengers Bangalore,Pune Warriors
319,320,IPL-2012,Chennai,2012-12-04,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,Chennai Super Kings,0,5,F du Plessis,Chepauk,205,208,Royal Challengers Bangalore,Chennai Super Kings
320,321,IPL-2012,Chandigarh,2012-12-04,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",115,116,Pune Warriors,Kings XI Punjab
363,364,IPL-2012,Chennai,2012-12-05,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,9,BW Hilfenhaus,Chepauk,114,115,Delhi Daredevils,Chennai Super Kings
362,363,IPL-2012,Kolkata,2012-12-05,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Mumbai Indians,27,0,RG Sharma,Eden Gardens,182,155,Mumbai Indians,Kolkata Knight Riders
422,423,IPL-2013,Hyderabad,2013-01-05,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,Sunrisers Hyderabad,0,7,I Sharma,"RGIS, Uppal",129,130,Mumbai Indians,Sunrisers Hyderabad
423,424,IPL-2013,Raipur,2013-01-05,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Delhi Daredevils,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium,136,137,Kolkata Knight Riders,Delhi Daredevils
424,425,IPL-2013,Chennai,2013-02-05,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,15,0,SK Raina,Chepauk,186,171,Chennai Super Kings,Kings XI Punjab
425,426,IPL-2013,Pune,2013-02-05,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,17,0,AB de Villiers,Subrata Roy Sahara Stadium,187,170,Royal Challengers Bangalore,Pune Warriors
381,382,IPL-2013,Kolkata,2013-03-04,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,6,SP Narine,Eden Gardens,128,129,Delhi Daredevils,Kolkata Knight Riders
426,427,IPL-2013,Kolkata,2013-03-05,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Kolkata Knight Riders,0,8,YK Pathan,Eden Gardens,132,133,Rajasthan Royals,Kolkata Knight Riders
382,383,IPL-2013,Bangalore,2013-04-04,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Royal Challengers Bangalore,2,0,CH Gayle,M Chinnaswamy Stadium,156,154,Royal Challengers Bangalore,Mumbai Indians
427,428,IPL-2013,Hyderabad,2013-04-05,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,Sunrisers Hyderabad,0,6,DJG Sammy,"RGIS, Uppal",80,81,Delhi Daredevils,Sunrisers Hyderabad
395,396,IPL-2013,Chennai,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,4,RA Jadeja,Chepauk,165,166,Royal Challengers Bangalore,Chennai Super Kings
394,395,IPL-2013,Mumbai,2013-04-13,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,Mumbai Indians,41,0,RG Sharma,Wankhede Stadium,183,142,Mumbai Indians,Pune Warriors
397,398,IPL-2013,Jaipur,2013-04-14,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,6,JP Faulkner,Sawai Mansingh Stadium,124,126,Kings XI Punjab,Rajasthan Royals
396,397,IPL-2013,Kolkata,2013-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,48,0,G Gambhir,Eden Gardens,180,132,Kolkata Knight Riders,Sunrisers Hyderabad
398,399,IPL-2013,Chennai,2013-04-15,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,Pune Warriors,24,0,SPD Smith,Chepauk,159,135,Pune Warriors,Chennai Super Kings
399,400,IPL-2013,Chandigarh,2013-04-16,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kings XI Punjab,4,0,MS Gony,"Punjab Cricket Association Stadium, Mohali",157,153,Kings XI Punjab,Kolkata Knight Riders
400,401,IPL-2013,Bangalore,2013-04-16,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,Royal Challengers Bangalore,0,0,V Kohli,M Chinnaswamy Stadium,152,152,Delhi Daredevils,Royal Challengers Bangalore
402,403,IPL-2013,Jaipur,2013-04-17,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,Rajasthan Royals,87,0,AM Rahane,Sawai Mansingh Stadium,179,92,Rajasthan Royals,Mumbai Indians
401,402,IPL-2013,Pune,2013-04-17,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,Sunrisers Hyderabad,11,0,A Mishra,Subrata Roy Sahara Stadium,119,108,Sunrisers Hyderabad,Pune Warriors
403,404,IPL-2013,Delhi,2013-04-18,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Chennai Super Kings,86,0,MEK Hussey,Feroz Shah Kotla,169,83,Chennai Super Kings,Delhi Daredevils
404,405,IPL-2013,Hyderabad,2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,normal,Sunrisers Hyderabad,0,5,GH Vihari,"RGIS, Uppal",123,127,Kings XI Punjab,Sunrisers Hyderabad
405,406,IPL-2013,Kolkata,2013-04-20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,Chennai Super Kings,0,4,RA Jadeja,Eden Gardens,119,124,Kolkata Knight Riders,Chennai Super Kings
406,407,IPL-2013,Bangalore,2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,117,123,Rajasthan Royals,Royal Challengers Bangalore
408,409,IPL-2013,Chandigarh,2013-04-21,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,7,DA Miller,"Punjab Cricket Association Stadium, Mohali",185,186,Pune Warriors,Kings XI Punjab
407,408,IPL-2013,Delhi,2013-04-21,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,Delhi Daredevils,0,9,V Sehwag,Feroz Shah Kotla,161,165,Mumbai Indians,Delhi Daredevils
409,410,IPL-2013,Chennai,2013-04-22,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Chennai Super Kings,0,5,MEK Hussey,Chepauk,185,186,Rajasthan Royals,Chennai Super Kings
442,443,IPL-2013,Delhi,2013-04-23,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,5,Harmeet Singh,Feroz Shah Kotla,120,121,Delhi Daredevils,Kings XI Punjab
410,411,IPL-2013,Bangalore,2013-04-23,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,Royal Challengers Bangalore,130,0,CH Gayle,M Chinnaswamy Stadium,263,133,Royal Challengers Bangalore,Pune Warriors
412,413,IPL-2013,Kolkata,2013-04-24,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,Mumbai Indians,0,5,DR Smith,Eden Gardens,159,162,Kolkata Knight Riders,Mumbai Indians
413,414,IPL-2013,Chennai,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,Chennai Super Kings,0,5,MS Dhoni,Chepauk,159,160,Sunrisers Hyderabad,Chennai Super Kings
414,415,IPL-2013,Kolkata,2013-04-26,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kolkata Knight Riders,0,6,JH Kallis,Eden Gardens,149,150,Kings XI Punjab,Kolkata Knight Riders
415,416,IPL-2013,Jaipur,2013-04-27,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,Rajasthan Royals,0,8,JP Faulkner,Sawai Mansingh Stadium,144,146,Sunrisers Hyderabad,Rajasthan Royals
416,417,IPL-2013,Mumbai,2013-04-27,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Mumbai Indians,58,0,DR Smith,Wankhede Stadium,194,136,Mumbai Indians,Royal Challengers Bangalore
417,418,IPL-2013,Chennai,2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Chennai Super Kings,14,0,MEK Hussey,Chepauk,200,186,Chennai Super Kings,Kolkata Knight Riders
418,419,IPL-2013,Raipur,2013-04-28,Delhi Daredevils,Pune Warriors,Pune Warriors,field,normal,Delhi Daredevils,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium,164,149,Delhi Daredevils,Pune Warriors
420,421,IPL-2013,Mumbai,2013-04-29,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,Mumbai Indians,4,0,RG Sharma,Wankhede Stadium,174,170,Mumbai Indians,Kings XI Punjab
419,420,IPL-2013,Jaipur,2013-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,4,SV Samson,Sawai Mansingh Stadium,171,173,Royal Challengers Bangalore,Rajasthan Royals
421,422,IPL-2013,Pune,2013-04-30,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,Chennai Super Kings,37,0,MS Dhoni,Subrata Roy Sahara Stadium,164,127,Chennai Super Kings,Pune Warriors
383,384,IPL-2013,Hyderabad,2013-05-04,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,Sunrisers Hyderabad,22,0,A Mishra,"RGIS, Uppal",126,104,Sunrisers Hyderabad,Pune Warriors
429,430,IPL-2013,Mumbai,2013-05-05,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians,60,0,MG Johnson,Wankhede Stadium,139,79,Mumbai Indians,Chennai Super Kings
430,431,IPL-2013,Jaipur,2013-05-05,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,Rajasthan Royals,0,5,AM Rahane,Sawai Mansingh Stadium,178,182,Pune Warriors,Rajasthan Royals
443,444,IPL-2013,Mumbai,2013-05-13,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,Mumbai Indians,0,7,KA Pollard,Wankhede Stadium,178,184,Sunrisers Hyderabad,Mumbai Indians
428,429,IPL-2013,Bangalore,2013-05-14,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,7,AC Gilchrist,M Chinnaswamy Stadium,174,176,Royal Challengers Bangalore,Kings XI Punjab
445,446,IPL-2013,Chennai,2013-05-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Chennai Super Kings,33,0,MS Dhoni,Chepauk,168,135,Chennai Super Kings,Delhi Daredevils
446,447,IPL-2013,Mumbai,2013-05-15,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Mumbai Indians,14,0,AP Tare,Wankhede Stadium,166,152,Mumbai Indians,Rajasthan Royals
444,445,IPL-2013,Ranchi,2013-05-15,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Pune Warriors,7,0,MK Pandey,JSCA International Stadium Complex,170,163,Pune Warriors,Kolkata Knight Riders
411,412,IPL-2013,Dharamsala,2013-05-16,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Kings XI Punjab,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,171,164,Kings XI Punjab,Delhi Daredevils
448,449,IPL-2013,Hyderabad,2013-05-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,23,0,A Mishra,"RGIS, Uppal",136,113,Sunrisers Hyderabad,Rajasthan Royals
451,452,IPL-2013,Bangalore,2013-05-18,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Royal Challengers Bangalore,24,0,V Kohli,M Chinnaswamy Stadium,106,82,Royal Challengers Bangalore,Chennai Super Kings
449,450,IPL-2013,Dharamsala,2013-05-18,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,183,133,Kings XI Punjab,Mumbai Indians
450,451,IPL-2013,Pune,2013-05-19,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,Pune Warriors,38,0,LJ Wright,Subrata Roy Sahara Stadium,172,134,Pune Warriors,Delhi Daredevils
452,453,IPL-2013,Hyderabad,2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,Sunrisers Hyderabad,0,5,PA Patel,"RGIS, Uppal",130,132,Kolkata Knight Riders,Sunrisers Hyderabad
453,454,IPL-2013,Delhi,2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,Chennai Super Kings,48,0,MEK Hussey,Feroz Shah Kotla,192,144,Chennai Super Kings,Mumbai Indians
454,455,IPL-2013,Delhi,2013-05-22,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,Rajasthan Royals,0,4,BJ Hodge,Feroz Shah Kotla,132,135,Sunrisers Hyderabad,Rajasthan Royals
455,456,IPL-2013,Kolkata,2013-05-24,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,Mumbai Indians,0,4,Harbhajan Singh,Eden Gardens,165,169,Rajasthan Royals,Mumbai Indians
456,457,IPL-2013,Kolkata,2013-05-26,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians,23,0,KA Pollard,Eden Gardens,148,125,Mumbai Indians,Chennai Super Kings
385,386,IPL-2013,Chennai,2013-06-04,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians,9,0,KA Pollard,Chepauk,148,139,Mumbai Indians,Chennai Super Kings
384,385,IPL-2013,Delhi,2013-06-04,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,Rajasthan Royals,5,0,R Dravid,Feroz Shah Kotla,165,160,Rajasthan Royals,Delhi Daredevils
447,448,IPL-2013,Chandigarh,2013-06-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali",190,194,Royal Challengers Bangalore,Kings XI Punjab
387,388,IPL-2013,Hyderabad,2013-07-04,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,Sunrisers Hyderabad,0,0,GH Vihari,"RGIS, Uppal",130,130,Royal Challengers Bangalore,Sunrisers Hyderabad
386,387,IPL-2013,Pune,2013-07-04,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,normal,Kings XI Punjab,0,8,M Vohra,Subrata Roy Sahara Stadium,99,100,Pune Warriors,Kings XI Punjab
433,434,IPL-2013,Mumbai,2013-07-05,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Mumbai Indians,65,0,SR Tendulkar,Wankhede Stadium,170,105,Mumbai Indians,Kolkata Knight Riders
432,433,IPL-2013,Jaipur,2013-07-05,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Rajasthan Royals,0,9,AM Rahane,Sawai Mansingh Stadium,154,155,Delhi Daredevils,Rajasthan Royals
388,389,IPL-2013,Jaipur,2013-08-04,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Rajasthan Royals,19,0,SK Trivedi,Sawai Mansingh Stadium,144,125,Rajasthan Royals,Kolkata Knight Riders
434,435,IPL-2013,Hyderabad,2013-08-05,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Chennai Super Kings,77,0,SK Raina,"RGIS, Uppal",223,146,Chennai Super Kings,Sunrisers Hyderabad
389,390,IPL-2013,Mumbai,2013-09-04,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,Mumbai Indians,44,0,KD Karthik,Wankhede Stadium,209,165,Mumbai Indians,Delhi Daredevils
