,id,season,city,date,team_1,team_2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,inning_1_score,inning_2_score,team_batting_first,team_batting_second
270,271,IPL-2011,Jaipur,2011-01-05,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,0,6,LRPL Taylor,Sawai Mansingh Stadium,143,144,Pune Warriors,Rajasthan Royals
273,274,IPL-2011,Delhi,2011-02-05,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,140,141,Delhi Daredevils,Kochi Tuskers Kerala
272,273,IPL-2011,Mumbai,2011-02-05,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,Mumbai Indians,23,0,KA Pollard,Wankhede Stadium,159,136,Mumbai Indians,Kings XI Punjab
274,275,IPL-2011,Hyderabad,2011-03-05,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,Kolkata Knight Riders,20,0,YK Pathan,"RGIS, Uppal",169,149,Kolkata Knight Riders,Deccan Chargers
275,276,IPL-2011,Chennai,2011-04-05,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Chennai Super Kings,0,8,MEK Hussey,Chepauk,147,149,Rajasthan Royals,Chennai Super Kings
276,277,IPL-2011,Mumbai,2011-04-05,Mumbai Indians,Pune Warriors,Pune Warriors,field,normal,Mumbai Indians,21,0,R Sharma,Dr DY Patil Sports Academy,160,139,Mumbai Indians,Pune Warriors
242,243,IPL-2011,Chandigarh,2011-04-13,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,0,6,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",188,193,Chennai Super Kings,Kings XI Punjab
243,244,IPL-2011,Mumbai,2011-04-13,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,normal,Pune Warriors,0,4,MD Mishra,Dr DY Patil Sports Academy,148,151,Kochi Tuskers Kerala,Pune Warriors
244,245,IPL-2011,Hyderabad,2011-04-14,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Deccan Chargers,33,0,DW Steyn,"RGIS, Uppal",175,142,Deccan Chargers,Royal Challengers Bangalore
245,246,IPL-2011,Jaipur,2011-04-15,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,9,G Gambhir,Sawai Mansingh Stadium,159,160,Rajasthan Royals,Kolkata Knight Riders
