player,total_runs,out,numberofballs,average,strikerate
Niraj Patel,121,5,118,24.2,102.542372881356
DL Vettori,121,7,109,17.2857142857143,111.009174311927
AC Blizzard,120,7,89,17.1428571428571,134.831460674157
RJ Harris,117,12,111,9.75,105.405405405405
Misbah-ul-Haq,117,9,81,13,144.444444444444
Z Khan,117,15,138,7.8,84.7826086956522
D Short,116,7,99,16.5714285714286,117.171717171717
KK Cooper,116,9,68,12.8888888888889,170.588235294118
TG Southee,115,6,90,19.1666666666667,127.777777777778
R Tewatia,115,7,89,16.4285714285714,129.213483146067
M Kartik,113,7,108,16.1428571428571,104.62962962963
DJ Harris,111,3,101,37,109.90099009901
HV Patel,107,8,68,13.375,157.352941176471
JDP Oram,106,8,108,13.25,98.1481481481482
LJ Wright,106,4,60,26.5,176.666666666667
Rashid Khan,105,12,63,8.75,166.666666666667
RJ Quiney,103,7,102,14.7142857142857,100.980392156863
DS Kulkarni,101,9,106,11.2222222222222,95.2830188679245
MS Gony,99,9,70,11,141.428571428571
SD Chitnis,99,7,89,14.1428571428571,111.23595505618
MJ Clarke,98,5,94,19.6,104.255319148936
CJ Ferguson,98,6,116,16.3333333333333,84.4827586206896
MA Starc,96,6,98,16,97.9591836734694
S Curran,95,4,55,23.75,172.727272727273
AJ Tye,92,7,70,13.1428571428571,131.428571428571
PR Shah,92,8,91,11.5,101.098901098901
DJ Jacobs,92,7,97,13.1428571428571,94.8453608247423
S Rana,91,5,81,18.2,112.345679012346
RT Ponting,91,8,127,11.375,71.6535433070866
AD Nath,90,10,98,9,91.8367346938776
S Hetmyer,90,5,73,18,123.287671232877
MJ McClenaghan,88,11,70,8,125.714285714286
Iqbal Abdulla,88,1,83,88,106.024096385542
SL Malinga,88,12,99,7.33333333333333,88.8888888888889
AP Majumdar,87,4,76,21.75,114.473684210526
J Archer,84,7,61,12,137.704918032787
RE Levi,83,6,73,13.8333333333333,113.698630136986
LA Carseldine,81,3,68,27,119.117647058824
WPUJC Vaas,81,7,73,11.5714285714286,110.958904109589
Shahid Afridi,81,8,46,10.125,176.086956521739
AD Mascarenhas,79,10,78,7.9,101.282051282051
PJ Cummins,77,6,55,12.8333333333333,140
S Rutherford,77,5,53,15.4,145.283018867925
B Akhil,76,7,55,10.8571428571429,138.181818181818
IR Jaggi,76,5,97,15.2,78.3505154639175
TR Birt,75,5,58,15,129.310344827586
Washington Sundar,75,6,50,12.5,150
M Klinger,73,4,77,18.25,94.8051948051948
RR Sarwan,73,3,75,24.3333333333333,97.3333333333333
L Livingstone,71,3,47,23.6666666666667,151.063829787234
DL Chahar,71,6,44,11.8333333333333,161.363636363636
K Rabada,70,6,78,11.6666666666667,89.7435897435897
AA Bilakhia,69,5,85,13.8,81.1764705882353
H Klaasen,67,5,57,13.4,117.543859649123
RR Powar,67,3,63,22.3333333333333,106.349206349206
R Singh,66,6,65,11,101.538461538462
R Sharma,66,11,75,6,88
Mohammad Hafeez,64,8,82,8,78.0487804878049
CR Woakes,63,5,66,12.6,95.4545454545455
WD Parnell,63,9,75,7,84
Anirudh Singh,63,4,66,15.75,95.4545454545455
A Flintoff,62,2,53,31,116.981132075472
S Aravind,59,3,56,19.6666666666667,105.357142857143
WA Mota,56,5,73,11.2,76.7123287671233
JD Unadkat,55,7,53,7.85714285714286,103.77358490566
M Rawat,55,5,69,11,79.7101449275362
I Sharma,55,7,61,7.85714285714286,90.1639344262295
J Suchith,54,2,46,27,117.391304347826
Mohammed Shami,54,9,52,6,103.846153846154
A Chopra,53,5,71,10.6,74.6478873239437
RR Rossouw,53,6,51,8.83333333333333,103.921568627451
RP Singh,52,15,72,3.46666666666667,72.2222222222222
NM Coulter-Nile,52,7,50,7.42857142857143,104
Shoaib Malik,52,4,47,13,110.63829787234
KB Arun Karthik,51,5,50,10.2,102
R Rampaul,51,5,49,10.2,104.081632653061
RV Gomez,50,7,50,7.14285714285714,100
SB Bangar,49,6,58,8.16666666666667,84.4827586206896
VR Aaron,49,3,62,16.3333333333333,79.0322580645161
AG Paunikar,49,5,57,9.8,85.9649122807017
Yashpal Singh,47,4,66,11.75,71.2121212121212
Kuldeep Yadav,45,4,54,11.25,83.3333333333333
Sunny Singh,43,4,31,10.75,138.709677419355
AB Barath,42,2,42,21,100
SK Trivedi,42,8,59,5.25,71.1864406779661
JDS Neesham,42,3,46,14,91.304347826087
A Nehra,41,8,59,5.125,69.4915254237288
LPC Silva,40,2,25,20,160
S Dube,40,4,33,10,121.212121212121
BR Dunk,40,3,35,13.3333333333333,114.285714285714
Umar Gul,39,3,19,13,205.263157894737
AUK Pathan,39,5,23,7.8,169.565217391304
DJ Thornely,39,3,52,13,75
MM Patel,39,5,41,7.8,95.1219512195122
SP Jackson,38,2,31,19,122.58064516129
JO Holder,38,5,31,7.6,122.58064516129
Anureet Singh,37,4,46,9.25,80.4347826086957
S Narwal,37,4,27,9.25,137.037037037037
JJ Bumrah,37,3,38,12.3333333333333,97.3684210526316
Sohail Tanvir,36,3,29,12,124.137931034483
L Balaji,36,7,47,5.14285714285714,76.5957446808511
KW Richardson,36,3,39,12,92.3076923076923
Joginder Sharma,36,4,30,9,120
AN Ahmed,36,1,26,36,138.461538461538
SN Thakur,36,4,21,9,171.428571428571
A Kumble,35,2,46,17.5,76.0869565217391
B Sumanth,35,1,37,35,94.5945945945946
S Sreesanth,34,3,52,11.3333333333333,65.3846153846154
AP Dole,34,2,22,17,154.545454545455
A Mithun,34,5,25,6.8,136
L Ronchi,34,3,34,11.3333333333333,100
M Santner,33,1,23,33,143.478260869565
D Salunkhe,33,1,24,33,137.5
Basil Thampi,32,2,33,16,96.969696969697
RJ Peterson,32,3,29,10.6666666666667,110.344827586207
Mohammed Siraj,32,3,36,10.6666666666667,88.8888888888889
S Nadeem,32,14,77,2.28571428571429,41.5584415584416
S Sriram,31,2,36,15.5,86.1111111111111
T Taibu,31,3,26,10.3333333333333,119.230769230769
M Markande,30,3,29,10,103.448275862069
J Syed Mohammad,29,2,26,14.5,111.538461538462
VH Zol,29,2,26,14.5,111.538461538462
SB Jakati,28,2,29,14,96.551724137931
M Lomror,28,2,24,14,116.666666666667
JM Kemp,26,2,24,13,108.333333333333
NL McCullum,26,3,21,8.66666666666667,123.809523809524
AB Dinda,26,9,47,2.88888888888889,55.3191489361702
Sandeep Sharma,26,3,38,8.66666666666667,68.421052631579
A Choudhary,25,2,20,12.5,125
S Chanderpaul,25,3,31,8.33333333333333,80.6451612903226
KC Cariappa,24,3,21,8,114.285714285714
MA Khote,24,2,20,12,120
ER Dwivedi,24,2,14,12,171.428571428571
PJ Sangwan,24,7,39,3.42857142857143,61.5384615384615
BMAJ Mendis,23,3,27,7.66666666666667,85.1851851851852
T Curran,23,3,27,7.66666666666667,85.1851851851852
J Arunkumar,23,3,23,7.66666666666667,100
NS Naik,23,2,31,11.5,74.1935483870968
SW Tait,23,3,26,7.66666666666667,88.4615384615385
MS Wade,22,3,33,7.33333333333333,66.6666666666667
GB Hogg,22,2,22,11,100
YS Chahal,22,4,48,5.5,45.8333333333333
CA Ingram,21,2,26,10.5,80.7692307692308
DE Bollinger,21,1,22,21,95.4545454545455
RR Raje,20,1,18,20,111.111111111111
M Muralitharan,20,6,29,3.33333333333333,68.9655172413793
K Paul,20,4,24,5,83.3333333333333
AC Thomas,20,2,19,10,105.263157894737
H Brar,20,0,12,,166.666666666667
Imran Tahir,20,4,27,5,74.0740740740741
NJ Maddinson,20,3,21,6.66666666666667,95.2380952380952
Harpreet Singh,20,2,26,10,76.9230769230769
R Shukla,19,2,23,9.5,82.6086956521739
DR Martyn,19,2,24,9.5,79.1666666666667
R Bishnoi,19,3,17,6.33333333333333,111.764705882353
P Sahu,19,0,13,,146.153846153846
A Mukund,19,2,22,9.5,86.3636363636364
Y Gnaneswara Rao,19,1,17,19,111.764705882353
P R Barman,19,1,24,19,79.1666666666667
Vishnu Vinod,19,3,26,6.33333333333333,73.0769230769231
JJ van der Wath,18,2,16,9,112.5
Harmeet Singh,18,2,12,9,150
BJ Haddin,18,1,11,18,163.636363636364
PV Tambe,18,1,39,18,46.1538461538462
DS Lehmann,18,2,18,9,100
Parvez Rasool,17,2,20,8.5,85
AS Rajpoot,17,3,30,5.66666666666667,56.6666666666667
PP Ojha,16,10,44,1.6,36.3636363636364
CK Kapugedera,16,3,23,5.33333333333333,69.5652173913043
S Singh,16,1,17,16,94.1176470588235
SA Abbott,15,1,13,15,115.384615384615
C Madan,15,1,19,15,78.9473684210526
GR Napier,15,1,16,15,93.75
VY Mahesh,15,2,26,7.5,57.6923076923077
RD Chahar,15,2,13,7.5,115.384615384615
A Joseph,15,0,13,,115.384615384615
SD Lad,15,1,13,15,115.384615384615
F Behardien,14,2,13,7,107.692307692308
MDKJ Perera,14,2,13,7,107.692307692308
S Badree,13,5,23,2.6,56.5217391304348
S Mavi,13,3,15,4.33333333333333,86.6666666666667
DT Patil,13,1,13,13,100
KJ Abbott,13,1,8,13,162.5
D Shorey,13,2,17,6.5,76.4705882352941
Swapnil Singh,12,3,20,4,60
T Thushara,12,2,18,6,66.6666666666667
TA Boult,12,2,14,6,85.7142857142857
DAJ Bracewell,12,0,9,,133.333333333333
M Ur Rahman,12,2,11,6,109.090909090909
AR Bawne,12,0,12,,100
AA Chavan,12,1,11,12,109.090909090909
Karanveer Singh,12,1,17,12,70.5882352941177
K Upadhyay,12,0,9,,133.333333333333
S Kaul,12,3,28,4,42.8571428571429
M Ntini,11,1,18,11,61.1111111111111
BB Sran,11,1,14,11,78.5714285714286
T Henderson,11,1,16,11,68.75
T Kohli,11,3,19,3.66666666666667,57.8947368421053
DNT Zoysa,11,1,9,11,122.222222222222
X Thalaivan Sargunam,10,1,17,10,58.8235294117647
J Theron,10,2,12,5,83.3333333333333
AG Murtaza,10,1,14,10,71.4285714285714
TD Paine,10,2,26,5,38.4615384615385
KAJ Roach,10,1,9,10,111.111111111111
SMSM Senanayake,10,1,17,10,58.8235294117647
D du Preez,10,1,13,10,76.9230769230769
AA Noffke,9,1,10,9,90
SM Harwood,9,0,13,,69.2307692307692
Jaskaran Singh,8,2,11,4,72.7272727272727
CJ McKay,8,1,15,8,53.3333333333333
J Searles,8,1,6,8,133.333333333333
TS Mills,8,3,11,2.66666666666667,72.7272727272727
P Chopra,8,1,6,8,133.333333333333
TM Srivastava,8,1,11,8,72.7272727272727
CK Langeveldt,8,2,9,4,88.8888888888889
UA Birla,7,1,14,7,50
VS Malik,7,1,7,7,100
Pankaj Singh,7,2,12,3.5,58.3333333333333
AF Milne,7,3,12,2.33333333333333,58.3333333333333
N Naik,7,1,16,7,43.75
AN Ghosh,7,2,8,3.5,87.5
Ankit Soni,7,2,8,3.5,87.5
I Malhotra,7,0,4,,175
R Bhui,7,2,17,3.5,41.1764705882353
I Sodhi,7,2,17,3.5,41.1764705882353
DM Bravo,6,0,5,,120
SS Shaikh,6,0,7,,85.7142857142857
SB Joshi,6,2,14,3,42.8571428571429
J Yadav,6,0,10,,60
BA Bhatt,6,0,7,,85.7142857142857
S Sharma,6,0,3,,200
PSP Handscomb,6,1,12,6,50
B Stanlake,5,0,2,,250
A Zampa,5,2,8,2.5,62.5
R Salam,5,0,4,,125
Shivam Sharma,5,1,3,5,166.666666666667
SJ Srivastava,5,1,5,5,100
P Awana,5,3,14,1.66666666666667,35.7142857142857
KMDN Kulasekara,5,0,2,,250
